2015-09-29 06:42:53,158 | INFO   | org.springframework.web.context.ContextLoader |  285 | Root WebApplicationContext: initialization started
2015-09-29 06:42:53,228 | DEBUG  | org.springframework.web.context.support.StandardServletEnvironment |  110 | Adding [servletConfigInitParams] PropertySource with lowest search precedence
2015-09-29 06:42:53,229 | DEBUG  | org.springframework.web.context.support.StandardServletEnvironment |  110 | Adding [servletContextInitParams] PropertySource with lowest search precedence
2015-09-29 06:42:53,232 | DEBUG  | org.springframework.web.context.support.StandardServletEnvironment |  110 | Adding [jndiProperties] PropertySource with lowest search precedence
2015-09-29 06:42:53,233 | DEBUG  | org.springframework.web.context.support.StandardServletEnvironment |  110 | Adding [systemProperties] PropertySource with lowest search precedence
2015-09-29 06:42:53,234 | DEBUG  | org.springframework.web.context.support.StandardServletEnvironment |  110 | Adding [systemEnvironment] PropertySource with lowest search precedence
2015-09-29 06:42:53,235 | DEBUG  | org.springframework.web.context.support.StandardServletEnvironment |  126 | Initialized StandardServletEnvironment with PropertySources [servletConfigInitParams,servletContextInitParams,jndiProperties,systemProperties,systemEnvironment]
2015-09-29 06:42:53,239 | DEBUG  | org.springframework.web.context.support.StandardServletEnvironment |  175 | Replacing [servletContextInitParams] PropertySource with [servletContextInitParams]
2015-09-29 06:42:53,240 | INFO   | org.springframework.web.context.support.XmlWebApplicationContext |  513 | Refreshing Root WebApplicationContext: startup date [Tue Sep 29 06:42:53 CDT 2015]; root of context hierarchy
2015-09-29 06:42:53,260 | DEBUG  | org.springframework.core.env.StandardEnvironment |  110 | Adding [systemProperties] PropertySource with lowest search precedence
2015-09-29 06:42:53,261 | DEBUG  | org.springframework.core.env.StandardEnvironment |  110 | Adding [systemEnvironment] PropertySource with lowest search precedence
2015-09-29 06:42:53,261 | DEBUG  | org.springframework.core.env.StandardEnvironment |  126 | Initialized StandardEnvironment with PropertySources [systemProperties,systemEnvironment]
2015-09-29 06:42:53,268 | INFO   | org.springframework.beans.factory.xml.XmlBeanDefinitionReader |  316 | Loading XML bean definitions from ServletContext resource [/WEB-INF/spring/spring-beans.xml]
2015-09-29 06:42:53,270 | DEBUG  | org.springframework.beans.factory.xml.DefaultDocumentLoader |   73 | Using JAXP provider [com.sun.org.apache.xerces.internal.jaxp.DocumentBuilderFactoryImpl]
2015-09-29 06:42:53,292 | DEBUG  | org.springframework.beans.factory.xml.PluggableSchemaResolver |  106 | Trying to resolve XML entity with public id [null] and system id [http://www.springframework.org/schema/beans/spring-beans-3.0.xsd]
2015-09-29 06:42:53,292 | DEBUG  | org.springframework.beans.factory.xml.PluggableSchemaResolver |  141 | Loading schema mappings from [META-INF/spring.schemas]
